arb2_gene,gene_name,blast_annot,GOs,pfams,signalP,SSP,TMHMM,sc16a_homolog
Ophcf2|05573,GQ602_005573,peptidase m50B-like domain-containing protein,NA,PF13398|Peptidase_M50B;,NA,NA,6;,Ophio5|2616
Ophcf2|05574,GQ602_005574,class III chitinase,GO:0008150|biological_process; GO:0005975|carbohydrate metabolic process; GO:0071704|organic substance metabolic process; GO:0044238|primary metabolic process; GO:0008152|metabolic process;,PF00704|Glyco_hydro_18;,Has signal peptide;,NA,NA,Ophio5|2615
Ophcf2|05575,GQ602_005575,"Heat-labile enterotoxin, A chain",NA,NA,Has signal peptide;,NA,NA,Ophio5|2613
Ophcf2|05576,GQ602_005576,"F-box domain, cyclin-like protein",NA,NA,NA,NA,NA,Ophio5|2612
Ophcf2|05577,GQ602_005577,---NA---,NA,NA,NA,NA,NA,NA
Ophcf2|05578,GQ602_005578,oxidoreductase,NA,PF08659|KR; PF13561|adh_short_C2; PF00106|adh_short;,NA,NA,NA,Ophio5|2804
Ophcf2|05579,GQ602_005579,5-phospho-ribosyl-1-pyrophosphate synthetase,"GO:0016778|diphosphotransferase activity; GO:0018130|heterocycle biosynthetic process; GO:0003674|molecular_function; GO:0016772|transferase activity, transferring phosphorus-containing groups; GO:0034654|nucleobase-containing compound biosynthetic process; GO:0071704|organic substance metabolic process; GO:0009987|cellular process; GO:0004749|ribose phosphate diphosphokinase activity; GO:0009117|nucleotide metabolic process; GO:0005488|binding; GO:0000287|magnesium ion binding; GO:0044237|cellular metabolic process; GO:0006807|nitrogen compound metabolic process; GO:0055086|nucleobase-containing small molecule metabolic process; GO:0043167|ion binding; GO:0044271|cellular nitrogen compound biosynthetic process; GO:0019438|aromatic compound biosynthetic process; GO:0006725|cellular aromatic compound metabolic process; GO:0046483|heterocycle metabolic process; GO:0003824|catalytic activity; GO:0006139|nucleobase-containing compound metabolic process; GO:0006796|phosphate-containing compound metabolic process; GO:0009165|nucleotide biosynthetic process; GO:0044281|small molecule metabolic process; GO:0043169|cation binding; GO:1901293|nucleoside phosphate biosynthetic process; GO:0034641|cellular nitrogen compound metabolic process; GO:0044238|primary metabolic process; GO:0006753|nucleoside phosphate metabolic process; GO:0009058|biosynthetic process; GO:1901362|organic cyclic compound biosynthetic process; GO:0006793|phosphorus metabolic process; GO:0046872|metal ion binding; GO:0016740|transferase activity; GO:0019637|organophosphate metabolic process; GO:0008150|biological_process; GO:0090407|organophosphate biosynthetic process; GO:0044249|cellular biosynthetic process; GO:1901360|organic cyclic compound metabolic process; GO:1901576|organic substance biosynthetic process; GO:0008152|metabolic process;",PF14572|Pribosyl_synth; PF13793|Pribosyltran_N;,NA,NA,NA,Ophio5|2803
Ophcf2|05580,GQ602_005580,DNA replication initiation factor cdc45,NA,PF12813|XPG_I_2;,NA,NA,NA,Ophio5|2802
Ophcf2|05581,GQ602_005581,Poly(A) RNA polymerase cid13,NA,PF03828|PAP_assoc;,NA,NA,NA,Ophio5|2801
Ophcf2|05582,GQ602_005582,Transcription initiation factor IIF subunit alpha,NA,NA,NA,NA,NA,Ophio5|2800
Ophcf2|05583,GQ602_005583,pre-mrna-splicing factor cwc26,NA,PF09736|Bud13;,NA,NA,NA,Ophio5|2799
Ophcf2|05584,GQ602_005584,cis-Golgi transport protein particle complex subunit,NA,PF12739|TRAPPC-Trs85;,NA,NA,NA,Ophio5|2798
Ophcf2|05585,GQ602_005585,predicted protein [,GO:0051234|establishment of localization; GO:0007034|vacuolar transport; GO:0006810|transport; GO:0008150|biological_process; GO:0051179|localization;,PF03357|Snf7;,NA,NA,NA,Ophio5|2797
Ophcf2|05586,GQ602_005586,DNA repair protein rad18,NA,NA,NA,NA,NA,Ophio5|2796
Ophcf2|05587,GQ602_005587,DNA polymerase subunit Cdc27,GO:0005575|cellular_component; GO:0071704|organic substance metabolic process; GO:0009987|cellular process; GO:0044424|intracellular part; GO:0043170|macromolecule metabolic process; GO:0043229|intracellular organelle; GO:0044237|cellular metabolic process; GO:0006807|nitrogen compound metabolic process; GO:0006259|DNA metabolic process; GO:0044260|cellular macromolecule metabolic process; GO:0006725|cellular aromatic compound metabolic process; GO:0009059|macromolecule biosynthetic process; GO:0046483|heterocycle metabolic process; GO:0044464|cell part; GO:0006139|nucleobase-containing compound metabolic process; GO:0034645|cellular macromolecule biosynthetic process; GO:0043231|intracellular membrane-bounded organelle; GO:0005634|nucleus; GO:0006260|DNA replication; GO:0043226|organelle; GO:0034641|cellular nitrogen compound metabolic process; GO:0044238|primary metabolic process; GO:0009058|biosynthetic process; GO:0008150|biological_process; GO:0044249|cellular biosynthetic process; GO:1901360|organic cyclic compound metabolic process; GO:0090304|nucleic acid metabolic process; GO:1901576|organic substance biosynthetic process; GO:0043227|membrane-bounded organelle; GO:0008152|metabolic process;,PF09507|CDC27;,NA,NA,NA,Ophio5|2795
Ophcf2|05588,GQ602_005588,Aspartate/tyrosine/aromatic aminotransferase,NA,NA,NA,NA,NA,Ophio5|2794
Ophcf2|05589,GQ602_005589,DUF1237 domain protein,NA,PF06824|Glyco_hydro_125;,Has signal peptide;,NA,NA,Ophio5|3206
Ophcf2|05590,GQ602_005590,hypothetical protein CDD80_7329,NA,NA,NA,NA,NA,NA
Ophcf2|05591,GQ602_005591,precorrin 3B synthase CobZ,NA,PF00890|FAD_binding_2;,NA,NA,NA,NA
Ophcf2|05592,GQ602_005592,Histone acetyltransferase ESA1,"GO:0009889|regulation of biosynthetic process; GO:0004402|histone acetyltransferase activity; GO:0006325|chromatin organization; GO:0006464|cellular protein modification process; GO:0051252|regulation of RNA metabolic process; GO:0019222|regulation of metabolic process; GO:0003674|molecular_function; GO:0031323|regulation of cellular metabolic process; GO:0010556|regulation of macromolecule biosynthetic process; GO:0016410|N-acyltransferase activity; GO:0071704|organic substance metabolic process; GO:0009987|cellular process; GO:0016573|histone acetylation; GO:0044267|cellular protein metabolic process; GO:0016043|cellular component organization; GO:0043412|macromolecule modification; GO:0043170|macromolecule metabolic process; GO:0080090|regulation of primary metabolic process; GO:0006475|internal protein amino acid acetylation; GO:0044237|cellular metabolic process; GO:0006807|nitrogen compound metabolic process; GO:0018193|peptidyl-amino acid modification; GO:0044260|cellular macromolecule metabolic process; GO:0061733|peptide-lysine-N-acetyltransferase activity; GO:0006473|protein acetylation; GO:0018393|internal peptidyl-lysine acetylation; GO:0050789|regulation of biological process; GO:0034212|peptide N-acetyltransferase activity; GO:0051171|regulation of nitrogen compound metabolic process; GO:0016569|covalent chromatin modification; GO:0003824|catalytic activity; GO:0019219|regulation of nucleobase-containing compound metabolic process; GO:0010468|regulation of gene expression; GO:1903506|regulation of nucleic acid-templated transcription; GO:0019538|protein metabolic process; GO:0016570|histone modification; GO:0016746|transferase activity, transferring acyl groups; GO:0044238|primary metabolic process; GO:0031326|regulation of cellular biosynthetic process; GO:0018205|peptidyl-lysine modification; GO:0036211|protein modification process; GO:0016407|acetyltransferase activity; GO:0065007|biological regulation; GO:2001141|regulation of RNA biosynthetic process; GO:0016740|transferase activity; GO:0050794|regulation of cellular process; GO:0008080|N-acetyltransferase activity; GO:0008150|biological_process; GO:0018394|peptidyl-lysine acetylation; GO:0043543|protein acylation; GO:0016747|transferase activity, transferring acyl groups other than amino-acyl groups; GO:2000112|regulation of cellular macromolecule biosynthetic process; GO:0006355|regulation of transcription, DNA-templated; GO:1901564|organonitrogen compound metabolic process; GO:0008152|metabolic process; GO:0060255|regulation of macromolecule metabolic process; GO:0071840|cellular component organization or biogenesis;",PF01853|MOZ_SAS; PF17772|zf-MYST; PF11717|Tudor-knot;,NA,NA,NA,Ophio5|3205
Ophcf2|05593,GQ602_005593,Ras-related protein Rab-6B,"GO:0035639|purine ribonucleoside triphosphate binding; GO:0032549|ribonucleoside binding; GO:0019001|guanyl nucleotide binding; GO:0097159|organic cyclic compound binding; GO:0003674|molecular_function; GO:0032553|ribonucleotide binding; GO:0016787|hydrolase activity; GO:0005488|binding; GO:0016462|pyrophosphatase activity; GO:0043167|ion binding; GO:0005525|GTP binding; GO:0000166|nucleotide binding; GO:0043168|anion binding; GO:1901363|heterocyclic compound binding; GO:0097367|carbohydrate derivative binding; GO:0003824|catalytic activity; GO:0003924|GTPase activity; GO:0017111|nucleoside-triphosphatase activity; GO:0017076|purine nucleotide binding; GO:0032550|purine ribonucleoside binding; GO:0001882|nucleoside binding; GO:0032561|guanyl ribonucleotide binding; GO:1901265|nucleoside phosphate binding; GO:0016818|hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides; GO:0032555|purine ribonucleotide binding; GO:0036094|small molecule binding; GO:0001883|purine nucleoside binding; GO:0016817|hydrolase activity, acting on acid anhydrides;",PF04670|Gtr1_RagA; PF00025|Arf; PF00071|Ras; PF01926|MMR_HSR1; PF08477|Roc; PF09439|SRPRB;,NA,NA,NA,Ophio5|3203
Ophcf2|05594,GQ602_005594,P60-like protein,NA,PF07767|Nop53;,NA,NA,NA,Ophio5|3202
Ophcf2|05595,GQ602_005595,NADH-ubiquinone oxidoreductase subunit,GO:0003824|catalytic activity; GO:0055114|oxidation-reduction process; GO:0016491|oxidoreductase activity; GO:0003674|molecular_function; GO:0008150|biological_process; GO:0008152|metabolic process;,PF07992|Pyr_redox_2; PF00070|Pyr_redox;,NA,NA,1;,Ophio5|3201
Ophcf2|05596,GQ602_005596,Uridine kinase,"GO:0035639|purine ribonucleoside triphosphate binding; GO:0097159|organic cyclic compound binding; GO:0003674|molecular_function; GO:0016772|transferase activity, transferring phosphorus-containing groups; GO:0032553|ribonucleotide binding; GO:0016301|kinase activity; GO:0008144|drug binding; GO:0005488|binding; GO:0043167|ion binding; GO:0000166|nucleotide binding; GO:0043168|anion binding; GO:1901363|heterocyclic compound binding; GO:0097367|carbohydrate derivative binding; GO:0003824|catalytic activity; GO:0017076|purine nucleotide binding; GO:0005524|ATP binding; GO:0032559|adenyl ribonucleotide binding; GO:1901265|nucleoside phosphate binding; GO:0016740|transferase activity; GO:0032555|purine ribonucleotide binding; GO:0036094|small molecule binding; GO:0030554|adenyl nucleotide binding;",PF14681|UPRTase; PF00485|PRK; PF07931|CPT;,NA,NA,NA,Ophio5|3200
Ophcf2|05597,GQ602_005597,ran binding protein in the microtubule-organising centre,GO:0003674|molecular_function; GO:0005488|binding; GO:0005515|protein binding;,PF10607|CLTH; PF08513|LisH;,NA,NA,NA,Ophio5|3199
Ophcf2|05598,GQ602_005598,"NADH-ubiquinone oxidoreductase 21 kDa subunit, mitochondrial","GO:0003824|catalytic activity; GO:0016651|oxidoreductase activity, acting on NAD(P)H; GO:0055114|oxidation-reduction process; GO:0044237|cellular metabolic process; GO:0022900|electron transport chain; GO:0016491|oxidoreductase activity; GO:0003674|molecular_function; GO:0008150|biological_process; GO:0006091|generation of precursor metabolites and energy; GO:0009987|cellular process; GO:0008152|metabolic process;",PF04800|ETC_C1_NDUFA4;,NA,NA,NA,Ophio5|3198
Ophcf2|05599,GQ602_005599,mitochondrial F1F0 ATP synthase subunit F Atp17,"GO:0018130|heterocycle biosynthetic process; GO:0009150|purine ribonucleotide metabolic process; GO:0000276|mitochondrial proton-transporting ATP synthase complex, coupling factor F(o); GO:0044424|intracellular part; GO:0034220|ion transmembrane transport; GO:0032991|protein-containing complex; GO:0015672|monovalent inorganic cation transport; GO:0006807|nitrogen compound metabolic process; GO:0006754|ATP biosynthetic process; GO:0009145|purine nucleoside triphosphate biosynthetic process; GO:0046483|heterocycle metabolic process; GO:0006139|nucleobase-containing compound metabolic process; GO:0006812|cation transport; GO:1901566|organonitrogen compound biosynthetic process; GO:0044429|mitochondrial part; GO:0009206|purine ribonucleoside triphosphate biosynthetic process; GO:0006753|nucleoside phosphate metabolic process; GO:0098796|membrane protein complex; GO:0009142|nucleoside triphosphate biosynthetic process; GO:1901576|organic substance biosynthetic process; GO:0005575|cellular_component; GO:0044425|membrane part; GO:0072522|purine-containing compound biosynthetic process; GO:0034654|nucleobase-containing compound biosynthetic process; GO:1902600|proton transmembrane transport; GO:0006163|purine nucleotide metabolic process; GO:0098798|mitochondrial protein complex; GO:0009199|ribonucleoside triphosphate metabolic process; GO:0051234|establishment of localization; GO:0006796|phosphate-containing compound metabolic process; GO:0006810|transport; GO:0044281|small molecule metabolic process; GO:0034641|cellular nitrogen compound metabolic process; GO:0009144|purine nucleoside triphosphate metabolic process; GO:0009205|purine ribonucleoside triphosphate metabolic process; GO:0009058|biosynthetic process; GO:0006793|phosphorus metabolic process; GO:0009201|ribonucleoside triphosphate biosynthetic process; GO:0090407|organophosphate biosynthetic process; GO:0044249|cellular biosynthetic process; GO:1901360|organic cyclic compound metabolic process; GO:1901137|carbohydrate derivative biosynthetic process; GO:1901564|organonitrogen compound metabolic process; GO:0009141|nucleoside triphosphate metabolic process; GO:0044455|mitochondrial membrane part; GO:0046390|ribose phosphate biosynthetic process; GO:0046034|ATP metabolic process; GO:0019693|ribose phosphate metabolic process; GO:0009987|cellular process; GO:0044237|cellular metabolic process; GO:0055086|nucleobase-containing small molecule metabolic process; GO:0006725|cellular aromatic compound metabolic process; GO:0098662|inorganic cation transmembrane transport; GO:0044446|intracellular organelle part; GO:1901135|carbohydrate derivative metabolic process; GO:0015985|energy coupled proton transport, down electrochemical gradient; GO:1901362|organic cyclic compound biosynthetic process; GO:0006164|purine nucleotide biosynthetic process; GO:0055085|transmembrane transport; GO:0008152|metabolic process; GO:0072521|purine-containing compound metabolic process; GO:0006811|ion transport; GO:0071704|organic substance metabolic process; GO:0009260|ribonucleotide biosynthetic process; GO:0009117|nucleotide metabolic process; GO:0098660|inorganic ion transmembrane transport; GO:0044271|cellular nitrogen compound biosynthetic process; GO:0098655|cation transmembrane transport; GO:0019438|aromatic compound biosynthetic process; GO:0044464|cell part; GO:0009152|purine ribonucleotide biosynthetic process; GO:0009165|nucleotide biosynthetic process; GO:0033177|proton-transporting two-sector ATPase complex, proton-transporting domain; GO:0044422|organelle part; GO:0009259|ribonucleotide metabolic process; GO:1901293|nucleoside phosphate biosynthetic process; GO:0051179|localization; GO:0098800|inner mitochondrial membrane protein complex; GO:0044238|primary metabolic process; GO:0015986|ATP synthesis coupled proton transport; GO:0019637|organophosphate metabolic process; GO:0008150|biological_process; GO:0044444|cytoplasmic part; GO:0045263|proton-transporting ATP synthase complex, coupling factor F(o); GO:0017144|drug metabolic process;",PF10791|F1F0-ATPsyn_F;,NA,NA,1;,Ophio5|3197
Ophcf2|05600,GQ602_005600,hypothetical protein CDD80_7320,NA,NA,NA,NA,NA,Ophio5|3196
Ophcf2|05601,GQ602_005601,probable replication licensing factor,GO:0035639|purine ribonucleoside triphosphate binding; GO:0097159|organic cyclic compound binding; GO:0003674|molecular_function; GO:0032553|ribonucleotide binding; GO:0071704|organic substance metabolic process; GO:0009987|cellular process; GO:0008144|drug binding; GO:0005488|binding; GO:0043170|macromolecule metabolic process; GO:0044237|cellular metabolic process; GO:0006807|nitrogen compound metabolic process; GO:0006259|DNA metabolic process; GO:0044260|cellular macromolecule metabolic process; GO:0043167|ion binding; GO:0000166|nucleotide binding; GO:0006725|cellular aromatic compound metabolic process; GO:0046483|heterocycle metabolic process; GO:0043168|anion binding; GO:0003676|nucleic acid binding; GO:1901363|heterocyclic compound binding; GO:0097367|carbohydrate derivative binding; GO:0006139|nucleobase-containing compound metabolic process; GO:0003677|DNA binding; GO:0017076|purine nucleotide binding; GO:0005524|ATP binding; GO:0032559|adenyl ribonucleotide binding; GO:0034641|cellular nitrogen compound metabolic process; GO:0044238|primary metabolic process; GO:1901265|nucleoside phosphate binding; GO:0032555|purine ribonucleotide binding; GO:0008150|biological_process; GO:0036094|small molecule binding; GO:1901360|organic cyclic compound metabolic process; GO:0090304|nucleic acid metabolic process; GO:0006270|DNA replication initiation; GO:0008152|metabolic process; GO:0030554|adenyl nucleotide binding;,PF17207|MCM_OB; PF01078|Mg_chelatase; PF00493|MCM; PF14551|MCM_N; PF17855|MCM_lid; PF18263|MCM6_C;,NA,NA,NA,Ophio5|3195
Ophcf2|05602,GQ602_005602,ribonuclease H2 subunit C,GO:0006401|RNA catabolic process; GO:0005575|cellular_component; GO:0009056|catabolic process; GO:0034655|nucleobase-containing compound catabolic process; GO:0071704|organic substance metabolic process; GO:0009987|cellular process; GO:0009057|macromolecule catabolic process; GO:0044424|intracellular part; GO:1901361|organic cyclic compound catabolic process; GO:0032991|protein-containing complex; GO:0043170|macromolecule metabolic process; GO:0044265|cellular macromolecule catabolic process; GO:0044237|cellular metabolic process; GO:0006807|nitrogen compound metabolic process; GO:0044260|cellular macromolecule metabolic process; GO:0006725|cellular aromatic compound metabolic process; GO:0019439|aromatic compound catabolic process; GO:0046483|heterocycle metabolic process; GO:0044464|cell part; GO:0006139|nucleobase-containing compound metabolic process; GO:0032299|ribonuclease H2 complex; GO:1901575|organic substance catabolic process; GO:0034641|cellular nitrogen compound metabolic process; GO:0044238|primary metabolic process; GO:0008150|biological_process; GO:0044270|cellular nitrogen compound catabolic process; GO:0046700|heterocycle catabolic process; GO:1901360|organic cyclic compound metabolic process; GO:0090304|nucleic acid metabolic process; GO:0016070|RNA metabolic process; GO:0008152|metabolic process; GO:0044248|cellular catabolic process;,PF08615|RNase_H2_suC;,NA,NA,NA,Ophio5|6444
Ophcf2|05603,GQ602_005603,cyclopropane-fatty-acyl-phospholipid synthase,"GO:0003824|catalytic activity; GO:0016741|transferase activity, transferring one-carbon groups; GO:0008168|methyltransferase activity; GO:0016740|transferase activity; GO:0003674|molecular_function;",PF13489|Methyltransf_23; PF08241|Methyltransf_11; PF13649|Methyltransf_25; PF02353|CMAS;,NA,NA,NA,Ophio5|6445
Ophcf2|05604,GQ602_005604,RNA exonuclease 4,NA,PF00929|RNase_T;,NA,NA,NA,Ophio5|6446
Ophcf2|05605,GQ602_005605,Inositol phoshorylceramide synthase regulatory subunit kei1,NA,PF08552|Kei1;,NA,NA,3;,Ophio5|6447
Ophcf2|05606,GQ602_005606,sulfite reductase beta subunit,GO:0097159|organic cyclic compound binding; GO:0003674|molecular_function; GO:0051540|metal cluster binding; GO:0032553|ribonucleotide binding; GO:0005488|binding; GO:0046906|tetrapyrrole binding; GO:0048037|cofactor binding; GO:0055114|oxidation-reduction process; GO:0050662|coenzyme binding; GO:0043167|ion binding; GO:0020037|heme binding; GO:0000166|nucleotide binding; GO:0043168|anion binding; GO:1901363|heterocyclic compound binding; GO:0097367|carbohydrate derivative binding; GO:0003824|catalytic activity; GO:0016491|oxidoreductase activity; GO:0010181|FMN binding; GO:1901265|nucleoside phosphate binding; GO:0008150|biological_process; GO:0036094|small molecule binding; GO:0051536|iron-sulfur cluster binding; GO:0008152|metabolic process;,PF01855|POR_N; PF00258|Flavodoxin_1; PF01077|NIR_SIR; PF03460|NIR_SIR_ferr;,NA,NA,NA,Ophio5|6448
Ophcf2|05607,GQ602_005607,class 2 chitin synthase,"GO:0003674|molecular_function; GO:0016757|transferase activity, transferring glycosyl groups; GO:0071704|organic substance metabolic process; GO:0009987|cellular process; GO:0043170|macromolecule metabolic process; GO:0004100|chitin synthase activity; GO:0044237|cellular metabolic process; GO:0006807|nitrogen compound metabolic process; GO:0008194|UDP-glycosyltransferase activity; GO:0009059|macromolecule biosynthetic process; GO:0003824|catalytic activity; GO:1901135|carbohydrate derivative metabolic process; GO:1901071|glucosamine-containing compound metabolic process; GO:0006031|chitin biosynthetic process; GO:1901566|organonitrogen compound biosynthetic process; GO:0046349|amino sugar biosynthetic process; GO:0008375|acetylglucosaminyltransferase activity; GO:0006023|aminoglycan biosynthetic process; GO:0006030|chitin metabolic process; GO:0016758|transferase activity, transferring hexosyl groups; GO:0009058|biosynthetic process; GO:1901073|glucosamine-containing compound biosynthetic process; GO:0006040|amino sugar metabolic process; GO:0016740|transferase activity; GO:0008150|biological_process; GO:0006022|aminoglycan metabolic process; GO:1901137|carbohydrate derivative biosynthetic process; GO:1901576|organic substance biosynthetic process; GO:1901564|organonitrogen compound metabolic process; GO:0008152|metabolic process; GO:0017144|drug metabolic process;",PF03142|Chitin_synth_2; PF13632|Glyco_trans_2_3; PF08407|Chitin_synth_1N; PF01644|Chitin_synth_1;,NA,NA,7;,Ophio5|3038
Ophcf2|05608,GQ602_005608,argininosuccinate lyase,NA,PF00206|Lyase_1; PF14698|ASL_C2;,NA,NA,NA,Ophio5|3039
Ophcf2|05609,GQ602_005609,beta-fructofuranosidase,NA,PF08244|Glyco_hydro_32C; PF00251|Glyco_hydro_32N;,Has signal peptide;,NA,NA,Ophio5|3040
Ophcf2|05610,GQ602_005610,AMP deaminase,GO:0003824|catalytic activity; GO:0051234|establishment of localization; GO:0005575|cellular_component; GO:0016787|hydrolase activity; GO:0044425|membrane part; GO:0003674|molecular_function; GO:0006810|transport; GO:0008150|biological_process; GO:0031224|intrinsic component of membrane; GO:0016021|integral component of membrane; GO:0019239|deaminase activity; GO:0051179|localization; GO:0055085|transmembrane transport;,PF07690|MFS_1; PF00962|A_deaminase;,NA,NA,12;,Ophio5|3042
Ophcf2|05611,GQ602_005611,phd finger domain-containing protein,NA,PF00628|PHD;,NA,NA,NA,Ophio5|3043
Ophcf2|05612,GQ602_005612,HMG box protein,NA,PF09011|HMG_box_2; PF00505|HMG_box;,NA,NA,NA,Ophio5|6289
Ophcf2|05613,GQ602_005613,nucleoside diphosphatase,GO:0003824|catalytic activity; GO:0003674|molecular_function; GO:0016787|hydrolase activity;,PF01150|GDA1_CD39;,NA,NA,1;,Ophio5|3045
Ophcf2|05614,GQ602_005614,hypothetical protein CDD80_4789,NA,NA,NA,NA,NA,Ophio5|3046
Ophcf2|05615,GQ602_005615,hypothetical protein CDD80_4790,NA,NA,NA,NA,NA,Ophio5|3048
Ophcf2|05616,GQ602_005616,related to MSH5-meiosis-specific protein,GO:0006950|response to stress; GO:0035639|purine ribonucleoside triphosphate binding; GO:0097159|organic cyclic compound binding; GO:0003674|molecular_function; GO:0032553|ribonucleotide binding; GO:0071704|organic substance metabolic process; GO:0009987|cellular process; GO:0008144|drug binding; GO:0005488|binding; GO:0003690|double-stranded DNA binding; GO:0043170|macromolecule metabolic process; GO:0044237|cellular metabolic process; GO:0006807|nitrogen compound metabolic process; GO:0006259|DNA metabolic process; GO:0044260|cellular macromolecule metabolic process; GO:0043167|ion binding; GO:0006974|cellular response to DNA damage stimulus; GO:0000166|nucleotide binding; GO:0006725|cellular aromatic compound metabolic process; GO:0046483|heterocycle metabolic process; GO:0003676|nucleic acid binding; GO:0043168|anion binding; GO:1901363|heterocyclic compound binding; GO:0097367|carbohydrate derivative binding; GO:0006139|nucleobase-containing compound metabolic process; GO:0003677|DNA binding; GO:0033554|cellular response to stress; GO:0017076|purine nucleotide binding; GO:0005524|ATP binding; GO:0032559|adenyl ribonucleotide binding; GO:0034641|cellular nitrogen compound metabolic process; GO:0044238|primary metabolic process; GO:0006281|DNA repair; GO:1901265|nucleoside phosphate binding; GO:0051716|cellular response to stimulus; GO:0032555|purine ribonucleotide binding; GO:0008150|biological_process; GO:0036094|small molecule binding; GO:0006298|mismatch repair; GO:0030983|mismatched DNA binding; GO:1901360|organic cyclic compound metabolic process; GO:0090304|nucleic acid metabolic process; GO:0050896|response to stimulus; GO:0008152|metabolic process; GO:0030554|adenyl nucleotide binding;,PF00488|MutS_V;,NA,NA,NA,Ophio5|3049
Ophcf2|05617,GQ602_005617,magnesium transporter,NA,PF10270|MMgT;,Has signal peptide;,NA,2;,Ophio5|1189
Ophcf2|05618,GQ602_005618,protein phosphatase PP2A regulatory subunit B,GO:0003674|molecular_function; GO:0005488|binding; GO:0005515|protein binding;,PF00400|WD40;,NA,NA,NA,Ophio5|652
Ophcf2|05619,GQ602_005619,ER to Golgi protein transport,GO:0005575|cellular_component; GO:0051641|cellular localization; GO:0003674|molecular_function; GO:0006996|organelle organization; GO:0016020|membrane; GO:0009987|cellular process; GO:0090174|organelle membrane fusion; GO:0044424|intracellular part; GO:0031090|organelle membrane; GO:0016043|cellular component organization; GO:0061025|membrane fusion; GO:0046907|intracellular transport; GO:0006886|intracellular protein transport; GO:0051649|establishment of localization in cell; GO:0061024|membrane organization; GO:0045184|establishment of protein localization; GO:0000139|Golgi membrane; GO:0044464|cell part; GO:0042886|amide transport; GO:0051234|establishment of localization; GO:0044446|intracellular organelle part; GO:0044431|Golgi apparatus part; GO:0006810|transport; GO:0044422|organelle part; GO:0008565|protein transporter activity; GO:0098588|bounding membrane of organelle; GO:0033036|macromolecule localization; GO:0071705|nitrogen compound transport; GO:0051179|localization; GO:0015031|protein transport; GO:0048284|organelle fusion; GO:0008104|protein localization; GO:0071702|organic substance transport; GO:0016050|vesicle organization; GO:0008150|biological_process; GO:0044444|cytoplasmic part; GO:0006906|vesicle fusion; GO:0048280|vesicle fusion with Golgi apparatus; GO:0015833|peptide transport; GO:0005215|transporter activity; GO:0005737|cytoplasm; GO:0071840|cellular component organization or biogenesis;,PF04869|Uso1_p115_head; PF04871|Uso1_p115_C;,NA,NA,NA,Ophio5|542
Ophcf2|05620,GQ602_005620,tRNA nucleotidyltransferase,NA,PF10521|Tti2;,NA,NA,NA,Ophio5|8621
Ophcf2|05621,GQ602_005621,Polyphosphoinositide phosphatase,"GO:0003824|catalytic activity; GO:0016787|hydrolase activity; GO:0003674|molecular_function; GO:0016788|hydrolase activity, acting on ester bonds; GO:0042578|phosphoric ester hydrolase activity;",PF02383|Syja_N;,NA,NA,NA,Ophio5|8622
Ophcf2|05622,GQ602_005622,tRNA-splicing endonuclease subunit sen34,NA,NA,NA,NA,NA,Ophio5|1327
Ophcf2|05623,GQ602_005623,syntaxin 8,NA,NA,NA,NA,1;,Ophio5|8028
Ophcf2|05624,GQ602_005624,Tryptophan synthase,GO:0043436|oxoacid metabolic process; GO:0003674|molecular_function; GO:0019752|carboxylic acid metabolic process; GO:0044106|cellular amine metabolic process; GO:0009308|amine metabolic process; GO:0071704|organic substance metabolic process; GO:0009987|cellular process; GO:0016829|lyase activity; GO:0044237|cellular metabolic process; GO:0006807|nitrogen compound metabolic process; GO:0006082|organic acid metabolic process; GO:0006725|cellular aromatic compound metabolic process; GO:0046483|heterocycle metabolic process; GO:0003824|catalytic activity; GO:0006576|cellular biogenic amine metabolic process; GO:0044281|small molecule metabolic process; GO:0006586|indolalkylamine metabolic process; GO:0034641|cellular nitrogen compound metabolic process; GO:0044238|primary metabolic process; GO:0008152|metabolic process; GO:0016835|carbon-oxygen lyase activity; GO:0006520|cellular amino acid metabolic process; GO:0008150|biological_process; GO:0009072|aromatic amino acid family metabolic process; GO:1901360|organic cyclic compound metabolic process; GO:0016836|hydro-lyase activity; GO:0004834|tryptophan synthase activity; GO:1901605|alpha-amino acid metabolic process; GO:1901564|organonitrogen compound metabolic process; GO:0042430|indole-containing compound metabolic process; GO:0006568|tryptophan metabolic process;,PF00291|PALP; PF00290|Trp_syntA;,NA,NA,NA,Ophio5|3656
